category,gaussian_blur,low_light
bottle,0.04365079365079361,0.15793650793650793
cable,0.39692653673163414,0.26630434782608703
capsule,0.4084563222975668,0.4140406860789789
carpet,0.3527287319422151,0.010032102728732006
grid,0.09273182957393489,0.005847953216374213
hazelnut,0.3821428571428571,0.38249999999999995
leather,0.6572690217391304,0.04313858695652173
metal_nut,0.22996089931573804,0.09188660801564019
pill,0.27577741407528655,0.23895253682487727
screw,0.31010452961672486,0.3879893420782948
tile,0.11002886002886003,0.12157287157287167
toothbrush,0.15000000000000002,0.05833333333333346
transistor,0.15208333333333324,0.4620833333333333
wood,0.22543859649122822,0.02017543859649129
zipper,0.0976890756302522,0.45667016806722693
